[GIN] 2020/03/24 - 19:33:16 | 200 |     79.0013ms |             ::1 | GET      /
[GIN] 2020/03/24 - 19:33:16 | 200 |      1.0015ms |             ::1 | GET      /css/chunk-vendors.5e9d68b3.css
[GIN] 2020/03/24 - 19:33:16 | 200 |       996.8µs |             ::1 | GET      /js/app.4b0c3203.js
[GIN] 2020/03/24 - 19:33:16 | 200 |      2.9972ms |             ::1 | GET      /js/chunk-vendors.2284c297.js
[GIN] 2020/03/24 - 19:33:17 | 200 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2020/03/24 - 19:33:17 | 404 |            0s |             ::1 | GET      /sign.png
[GIN] 2020/03/24 - 19:33:17 | 404 |            0s |             ::1 | GET      /samar.png
[GIN] 2020/03/24 - 19:33:17 | 200 |       999.7µs |             ::1 | GET      /js/about.38e344b6.js
[GIN] 2020/03/24 - 19:34:37 | 304 |      1.0009ms |             ::1 | GET      /
[GIN] 2020/03/24 - 19:34:37 | 304 |            0s |             ::1 | GET      /css/chunk-vendors.5e9d68b3.css
[GIN] 2020/03/24 - 19:34:37 | 304 |            0s |             ::1 | GET      /js/chunk-vendors.2284c297.js
[GIN] 2020/03/24 - 19:34:37 | 304 |           1ms |             ::1 | GET      /js/app.4b0c3203.js
[GIN] 2020/03/24 - 19:34:38 | 200 |     69.9971ms |             ::1 | GET      /samar.png
[GIN] 2020/03/24 - 19:34:38 | 200 |     70.9963ms |             ::1 | GET      /sign.png
[GIN] 2020/03/24 - 19:57:09 | 200 |     64.9974ms |             ::1 | GET      /
[GIN] 2020/03/24 - 19:57:09 | 200 |      1.0011ms |             ::1 | GET      /js/app.8e6185a4.js
[GIN] 2020/03/24 - 19:57:09 | 200 |       998.1µs |             ::1 | GET      /css/chunk-vendors.5e9d68b3.css
[GIN] 2020/03/24 - 19:57:09 | 200 |      2.0004ms |             ::1 | GET      /js/chunk-vendors.2284c297.js
[GIN] 2020/03/24 - 19:57:10 | 200 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2020/03/24 - 19:57:10 | 200 |            0s |             ::1 | GET      /samar.png
[GIN] 2020/03/24 - 19:57:10 | 200 |       3.001ms |             ::1 | GET      /sign.png
[GIN] 2020/03/24 - 19:57:10 | 200 |            0s |             ::1 | GET      /js/about.e628961f.js
[GIN] 2020/03/24 - 19:57:19 | 500 |     36.0508ms |             ::1 | GET      /api/v1/gethostname
[GIN] 2020/03/24 - 19:57:57 | 500 |     21.9965ms |       127.0.0.1 | GET      /api/v1/gethostname
[GIN] 2020/03/24 - 19:59:56 | 200 |      1.0039ms |       127.0.0.1 | GET      /api/v1/gethostname
[GIN] 2020/05/11 - 19:59:17 | 200 |    119.9982ms |       127.0.0.1 | GET      /
[GIN] 2020/05/11 - 19:59:17 | 200 |     12.0105ms |       127.0.0.1 | GET      /css/chunk-vendors.0cfde98b.css
[GIN] 2020/05/11 - 19:59:17 | 200 |     29.0013ms |       127.0.0.1 | GET      /js/app.c166eb25.js
[GIN] 2020/05/11 - 19:59:17 | 200 |    369.9996ms |       127.0.0.1 | GET      /js/chunk-vendors.9641550c.js
[GIN] 2020/05/11 - 19:59:18 | 200 |      2.9987ms |       127.0.0.1 | GET      /favicon.ico
[GIN] 2020/05/11 - 19:59:18 | 200 |       1.001ms |       127.0.0.1 | GET      /samar.png
[GIN] 2020/05/11 - 19:59:18 | 200 |      1.9995ms |       127.0.0.1 | GET      /sign.png
[GIN] 2020/05/11 - 19:59:18 | 200 |      7.0001ms |       127.0.0.1 | GET      /js/about.e628961f.js
